DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label,AILP,AIRLP,RHOBLP,GRLP,PHIELP
550.65,2056.0476,527.2798,61.2699,3900920.0,375154.8125,0.3712,3,3964824.474730462,366260.0044353276,2063.8779253529387,66.71818087262523,0.36767535340425345
550.8,2077.5942,508.5991,65.2419,4085239.5,375154.8125,0.3577,3,3978774.296869129,367800.6138205245,2070.2299578583916,67.54326704216207,0.3637118811602902
550.95,2094.3225,503.4454,67.2469,4160098.5,375154.8125,0.3473,3,3992184.3367235214,369096.0885185751,2076.3842157113395,68.34648844339672,0.35987234018980596
551.1,2101.4851,510.2529,68.2777,4118529.75,375154.8125,0.3428,3,4005003.79006809,370138.3656970161,2082.316789609249,69.12387752627033,0.3561716338616923
551.25,2100.2034,512.1694,71.0563,4100595.25,375154.8125,0.3436,3,4017185.567876391,370919.82150016207,2088.0047889116795,69.87155471016128,0.35262402781791824
551.4,2115.157,515.9915,71.0563,4099388.75,375154.8125,0.3343,3,4028686.5764863943,371433.3220436143,2093.4264857415915,70.58575793488255,0.3492430602340159
551.55,2125.3618,525.9164,70.8493,4041275.0,375154.8125,0.3279,3,4039467.96591422,371672.27253245574,2098.5614515380516,71.26287161182775,0.3460414567924869
551.7,2140.1323,531.0176,69.505,4030253.5,375154.8125,0.3186,3,4049495.344598167,371630.6641251161,2103.3906850820354,71.89945473013073,0.3430310509772217
551.85,2147.4365,529.7335,69.505,4053812.75,375154.8125,0.3141,3,4058738.959159211,371303.1181830814,2107.896731083733,72.49226787760281,0.340222710255597
552.0,2164.2327,528.1129,69.7549,4098159.0,375154.8125,0.3036,3,4067173.8380787154,370684.9275677374,2112.06378849343,73.0382989432839,0.3376262686691753
552.15,2170.6572,519.4837,72.5158,4178551.5,375154.8125,0.2996,3,4074779.898515806,369772.094669453,2115.8778077780125,73.53478727764897,0.3352504663042969
552.3,2165.9512,512.2427,74.1217,4228398.5,375154.8125,0.3025,3,4081542.0158125237,368561.36588027707,2119.3265764907273,73.97924609778556,0.33310289606077076
552.45,2137.0732,515.5532,74.1261,4145206.0,375154.8125,0.3206,3,4087450.055561438,367050.26225007087,2122.399792552228,74.36948293811795,0.331189958080802
552.6,2141.2241,517.9475,74.2312,4134060.5,375154.8125,0.318,3,4092498.8684347793,365237.10609625035,2125.08912475536,74.70361796239553,0.32951682214174344
552.75,2142.1138,521.1456,74.2312,4110394.5,375154.8125,0.3174,3,4096688.248293206,363121.04336927534,2127.3882601037267,74.98009996956498,0.3280873982557301
552.9,2144.2002,519.4823,74.2312,4127571.25,375154.8125,0.3161,3,4100022.8544031903,360702.0616092689,2129.2929376940383,75.19771994466907,0.3269043156572645
553.05,2155.2275,512.2355,77.031,4207501.5,375154.8125,0.3092,3,4102512.09889178,357981.0033633897,2130.800968953639,75.35562202590407,0.32596891029688885
553.2,2150.9192,507.3442,78.4515,4239573.5,375154.8125,0.3119,3,4104170.0008534044,354959.5749684983,2131.91224414656,75.4533117802527,0.32528122089572764
553.35,2135.3418,507.8511,78.4896,4204663.5,375154.8125,0.3217,3,4105015.0087927505,351640.35063894145,2132.6287251630906,75.49066170250634,0.3248399935524311
553.5,2114.6216,511.0013,80.0716,4138214.5,375154.8125,0.3346,3,4105069.793338157,348026.7718346203,2132.954424708468,75.46791387579968,0.3246426948313889
553.65,2096.8181,512.8579,80.16,4088509.0,375154.8125,0.3458,3,4104361.0123892794,344123.1419196105,2132.895372105087,75.3856797557993,0.32468553319951365
553.8,2082.6218,515.4411,80.16,4040485.25,375154.8125,0.3546,3,4102919.051068939,339934.6161561635,2132.459566018833,75.24493706519665,0.3249634886188827
553.95,2078.4504,512.7922,80.16,4053213.25,375154.8125,0.3572,3,4100777.7390301893,335467.18711264554,2131.656914513094,75.047023809937,0.32547035004453045
554.1,2059.4443,500.2435,80.16,4117089.75,375154.8125,0.3691,3,4097974.0478243968,330727.6655965846,2130.4991629229967,74.7936294534446,0.3261987605211343
554.25,2063.4885,499.7514,78.3616,4129028.5,375154.8125,0.3665,3,4094547.771163068,325723.65725523024,2128.999810126852,74.48678330975406,0.3271402695196457
554.4,2068.0559,503.6032,78.0855,4106549.25,318563.6875,0.3637,3,4090541.1910045734,320463.53501565213,2127.174013870941,74.12884024070276,0.32828539210546154
554.55,2080.5374,511.3797,78.0855,4068572.25,247328.5469,0.3559,3,4085998.732466175,314956.4075641931,2125.038485877145,73.72246376595551,0.3296236744838445
554.7,2103.8906,522.5933,78.26,4026019.75,235155.7812,0.3413,3,4080966.610601774,309212.0840908499,2122.6113775299837,73.27060671740361,0.3311437654262951
554.85,2121.4238,525.9822,78.3,4033253.25,235155.7812,0.3304,3,4075492.472096643,303241.03554770537,2119.9121570000516,72.77648959119195,0.33283349304370696
555.0,2115.1592,526.3757,78.3,4018346.75,235155.7812,0.3343,3,4069625.0349126593,297054.35269172577,2116.9614787142546,72.24357677107615,0.33467994633862325
555.15,2113.9038,527.7363,75.9984,4005612.0,235155.7812,0.3351,3,4063413.7288718657,290663.7012009256,2113.7810461293575,71.67555081580053,0.33666956093994416
555.3,2107.293,532.9735,74.2579,3953988.0,235155.7812,0.3392,3,4056908.3400934543,284081.27416900056,2110.3934688038844,71.07628502053878,0.3387882083991555
555.45,2086.8113,538.1593,71.1614,3877829.5,235155.7812,0.352,3,4050158.66210082,277319.7422969543,2106.8221147942627,70.4498144779855,0.3410212884076632
555.6,2060.4692,540.0221,66.9648,3815544.0,235155.7812,0.3685,3,4043214.1562928315,270392.20211094443,2103.0909594241625,69.80030587827724,0.3433538232801863
555.75,2055.2036,539.9185,64.2451,3806509.25,235155.7812,0.3717,3,4036123.624328604,263312.12254351936,2099.224431491248,69.13202629842176,0.34577055403941204
555.9,2040.6798,536.5298,63.6325,3803462.5,235155.7812,0.3808,3,4028934.894809602,256093.2902206107,2095.247257983056,68.44931124121237,0.34825603743223515
556.05,2025.6501,532.1286,63.6325,3806708.5,235155.7812,0.3902,3,4021694.52645904,248749.7537990967,2091.184308373463,67.75653219060835,0.3507947432078601
556.2,2035.5265,528.9669,63.6325,3848184.75,235155.7812,0.384,3,4014447.5297982525,241295.76769950445,2087.060439563352,67.05806395520086,0.35337115099273997
556.35,2065.9663,527.0112,63.6325,3920213.25,235155.7812,0.365,3,4007237.1091052876,233745.73557553237,2082.9003425137844,66.3582520736069,0.35596984610664445
556.5,2115.2905,526.0759,63.3353,4020914.0,235155.7812,0.3342,3,4000104.426215111,226114.15385663873,2078.7283915974576,65.66138055541425,0.3585756136779464
556.65,2135.5046,523.6533,62.8628,4078128.5,235155.7812,0.3215,3,3993088.387485946,218415.5556920702,2074.5684976646694,64.97164022863224,0.3611735304343315
556.8,2129.8513,518.8525,62.5394,4105003.75,235155.7812,0.3251,3,3986225.4550149655,210664.45561452198,2070.4439657838916,64.29309795950743,0.363749053567372
556.95,2118.5142,517.1823,60.9362,4096280.75,235155.7812,0.3321,3,3979549.4829412503,202875.2952292701,2066.377358574664,63.62966700308254,0.3662881060955507
557.1,2101.4636,517.5887,58.4818,4060101.5,235155.7812,0.3428,3,3973091.5794271263,195062.39022025053,2062.390366002299,62.98507873307382,0.36877715818013185
557.25,2085.4207,527.755,57.4384,3952952.5,235155.7812,0.3529,3,3966879.9946632124,187239.87894834825,2058.503682450366,62.3628559876037,0.3712033038814874
557.4,2066.9189,540.5661,57.4384,3824005.5,235155.7812,0.3644,3,3960940.035000108,179421.6728992881,2054.736891828627,61.766288253157825,0.37355433287980877
557.55,2035.9818,542.7449,57.8528,3751194.75,235155.7812,0.3838,3,3955294.0030730856,171621.4092191749,2051.108361411538,61.1984088929673,0.3758187967233107
557.7,2002.7349,538.5045,60.8195,3719024.0,235155.7812,0.4045,3,3949961.1635578102,163852.4055551126,2047.6351450361153,60.66197460799281,0.3779860692087501
557.85,2010.223,528.0181,65.8489,3808689.75,235155.7812,0.3999,3,3944957.7339769993,156127.61739665072,2044.3328962182943,60.15944729897298,0.3800464005430279
558.0,2055.9675,512.1783,68.4372,4015815.0,235155.7812,0.3713,3,3940296.8997718045,148459.59809126233,2041.215791674336,59.69297847677318,0.3819909649804796
558.15,2088.1047,499.8944,68.4372,4177541.75,207834.75,0.3512,3,3935988.852659288,140860.46168386537,2038.2964656588683,59.26439634572735,0.3838119016778563
558.3,2103.385,493.2505,66.5514,4264476.0,117828.3516,0.3416,3,3932040.851120148,133341.84870677194,2035.5859554542026,58.87519566101411,0.3855023485576319
558.45,2118.5605,493.9588,62.7227,4289055.5,44485.6875,0.3321,3,3928457.3017001795,125914.89502260646,2033.093658267119,58.52653043656883,0.3870564690197946
558.6,2123.2354,502.2801,60.0339,4227692.0,44485.6875,0.3292,3,3925239.8596660215,118590.2037988744,2030.8272997099223,58.21920955482989,0.3884694713923724
558.75,2110.2693,509.9099,57.6727,4138653.25,44485.6875,0.3373,3,3922387.547431382,111377.82066918827,2028.7929139626826,57.95369530398339,0.38973762106127263
558.9,2098.2625,516.8215,53.1428,4060467.5,44485.6875,0.3448,3,3919896.889064848,104287.21211286318,2026.9948356337845,57.73010484254071,0.39085824527027796
559.05,2066.1726,522.2134,47.6445,3956403.5,44485.6875,0.3649,3,3917762.0591049613,97327.24706185861,2025.4357032567718,57.54821456529549,0.39182973063190357
559.2,2015.3667,518.0273,45.6684,3890441.25,44485.6875,0.3966,3,3915975.0438427273,90506.18172204126,2024.116474283558,57.40746731919652,0.3926515134389964
559.35,1975.295,515.7082,45.6168,3830481.75,44485.6875,0.4217,3,3914525.8131861826,83831.64757463965,2023.0364513577783,57.30698239267664,0.39332406291513916
559.5,1925.7228,517.8344,45.6168,3718801.0,44485.6875,0.4526,3,3913402.5011956953,77310.64250370448,2022.1933195777692,57.2455681777243,0.3938488575888075
