DEPTH,RHOB,DT,GR,AI,AIR,PHIE,label
562.8,2109.4536,516.1852,68.1908,4086621.0,-42209.5078,0.3378,3
562.95,2087.9253,515.1686,67.879,4052894.0,-42209.5078,0.3513,3
563.1,2078.3137,517.7326,62.5845,4014274.25,-42209.5078,0.3573,3
563.25,2009.7872,518.2378,60.4693,3878125.0,-42209.5078,0.4001,3
563.4,2005.895,518.6986,55.7823,3867168.75,-42209.5078,0.4025,3
563.55,1970.4465,520.3807,55.3163,3786580.0,-42209.5078,0.4247,3
563.7,1981.192,520.306,55.3163,3807746.0,-42209.5078,0.418,3
563.85,1987.4969,517.5151,55.7214,3840487.25,-42209.5078,0.414,3
564.0,1997.4404,514.9379,55.7909,3879019.0,-42209.5078,0.4079,3
564.15,2008.7896,512.3578,55.7909,3920708.75,-42209.5078,0.4008,3
564.3,2024.6763,508.7962,51.9969,3979421.5,-42209.5078,0.3908,3
564.45,1986.3334,508.4004,51.0881,3907040.75,-42209.5078,0.4148,3
564.6,1979.0576,516.9037,51.0881,3828944.5,-42209.5078,0.4194,3
564.75,2028.6057,527.9915,52.8689,3841966.75,-42209.5078,0.3884,3
564.9,2054.5754,539.8366,55.5518,3806180.0,-42209.5078,0.3722,3
565.05,2039.5884,547.3654,56.6038,3726388.25,-42209.5078,0.3815,3
565.2,2008.1992,540.8092,56.9471,3713391.75,-42209.5078,0.4012,3
565.35,1967.8792,525.2885,57.7242,3746577.5,-42209.5078,0.4264,3
565.5,1969.0221,512.8518,58.5435,3839879.5,-42209.5078,0.4256,3
565.65,1991.2365,514.0494,59.2395,3873647.25,-42209.5078,0.4117,3
565.8,2032.99,517.5686,59.4663,3927887.0,-42209.5078,0.3856,3
565.95,2075.9976,521.5784,59.4663,3980142.25,-43455.9609,0.3587,3
566.1,2124.7632,517.4154,59.4663,4107343.75,-49833.3633,0.3282,3
566.25,2134.5334,507.2025,60.252,4208687.5,-53397.0625,0.3222,3
566.4,2094.8206,511.6121,63.0943,4096121.25,-53397.0625,0.347,3
566.55,2073.1235,521.2858,64.8065,3977078.75,-53397.0625,0.3605,3
566.7,2080.2976,526.2202,64.8663,3953296.5,-53397.0625,0.356,3
566.85,2092.687,528.4272,64.7927,3960211.25,-53397.0625,0.3483,3
567.0,2099.5283,521.3912,64.0255,4027550.0,-53397.0625,0.344,3
567.15,2094.3196,510.5325,62.5182,4102385.0,-53397.0625,0.3473,3
567.3,2089.2817,506.6869,61.6826,4123417.5,-53397.0625,0.3505,3
567.45,2088.1541,508.1813,61.6826,4109120.0,-53397.0625,0.3511,3
567.6,2101.75,509.323,61.6826,4126592.25,-53397.0625,0.3426,3
567.75,2118.2683,510.3148,61.6826,4150969.75,-53397.0625,0.3324,3
567.9,2101.0459,512.9979,59.4124,4095687.25,-53397.0625,0.3431,3
568.05,2082.4695,514.7313,56.363,4045751.0,-53397.0625,0.3547,3
568.2,2083.0247,515.2559,56.363,4042705.75,-53397.0625,0.3544,3
568.35,2078.2678,513.8738,56.8028,4044307.5,-53397.0625,0.3573,3
568.5,2067.7583,512.207,57.6161,4036957.5,-53397.0625,0.3639,3
568.65,2039.92,509.0873,57.7503,4006823.75,-53397.0625,0.3813,3
568.8,1990.744,505.9529,57.7503,3934650.5,-53397.0625,0.412,3
568.95,1982.1886,506.5375,57.1154,3913195.25,-53397.0625,0.4173,3
569.1,1981.1323,507.8528,55.7003,3901089.75,-53397.0625,0.418,3
569.25,1946.7683,510.2197,55.3416,3815538.75,-53397.0625,0.4395,3
569.4,1980.9639,511.9811,54.7621,3869480.0,-53397.0625,0.4182,3
569.55,2030.037,509.2798,55.3793,3986102.75,-53397.0625,0.3875,3
569.7,1994.5503,512.7852,55.6421,3890460.75,-53397.0625,0.4097,3
569.85,1974.4174,523.0272,56.2847,3775021.5,-56408.9336,0.4223,3
570.0,1997.6431,522.5881,58.774,3822625.5,-71506.1016,0.4077,3
570.15,2005.7833,526.8535,59.7161,3807095.25,-87512.6562,0.4027,3
570.3,1997.6338,524.324,61.8146,3810069.25,-87512.6562,0.4077,3
570.45,2002.0121,516.7741,62.6038,3874116.0,-87512.6562,0.405,3
570.6,2006.4581,513.5844,63.4566,3906870.25,-87512.6562,0.4022,3
570.75,1997.4711,519.3736,66.8192,3845871.25,-87512.6562,0.4078,3
570.9,2040.9536,525.9556,70.7478,3880456.25,-87512.6562,0.3806,3
571.05,2065.6335,527.7732,70.7478,3913854.5,-87512.6562,0.3652,3
571.2,2093.6799,529.2294,70.6845,3956113.75,-87512.6562,0.3477,3
571.35,2110.6333,525.6755,69.7464,4015175.25,-87512.6562,0.3371,3
571.5,2079.7114,510.9659,67.3371,4070157.25,-87512.6562,0.3565,3
571.65,2084.7141,512.1401,67.3371,4070603.0,-87512.6562,0.3533,3
571.8,2081.6399,516.6375,67.3539,4029208.0,-87512.6562,0.3553,3
571.95,2087.3999,518.809,69.7602,4023445.5,-87512.6562,0.3516,3
572.1,2062.8608,519.4335,70.0254,3971366.75,-87512.6562,0.367,3
572.25,2056.3718,520.1777,70.0271,3953210.5,-87512.6562,0.371,3
572.4,2040.7419,521.4727,70.0271,3913425.0,-87512.6562,0.3808,3
572.55,2048.0522,523.0416,69.7744,3915657.75,-87512.6562,0.3762,3
572.7,2055.9172,521.6374,69.7586,3941282.25,-87512.6562,0.3713,3
572.85,2072.0269,520.6795,69.7585,3979472.5,-87512.6562,0.3612,3
573.0,2098.0676,517.662,70.7412,4053015.5,-87512.6562,0.3449,3
573.15,2094.312,520.8273,72.9106,4021163.25,-87512.6562,0.3473,3
573.3,2070.7722,524.6165,73.7416,3947277.5,-87512.6562,0.362,3
573.45,2052.2239,531.139,73.9665,3863966.25,-87512.6562,0.3736,3
573.6,2070.5903,535.3014,74.3103,3868063.0,-87512.6562,0.3621,3
573.75,2074.1492,538.1709,75.8887,3854088.25,-92084.6797,0.3599,3
573.9,2076.4795,538.3394,77.4892,3857195.0,-117754.9453,0.3585,3
574.05,2089.532,537.1675,77.8029,3889924.0,-123916.8906,0.3503,3
574.2,2091.4431,535.4855,77.8029,3905701.0,-123916.8906,0.3491,3
574.35,2096.1235,532.1427,77.7702,3939081.5,-123916.8906,0.3462,3
574.5,2092.1528,531.3285,77.4157,3937589.25,-123916.8906,0.3486,3
574.65,2092.2605,531.6963,73.4946,3935066.5,-123916.8906,0.3486,3
574.8,2097.7666,531.2769,71.4013,3948543.25,-123916.8906,0.3451,3
574.95,2105.6084,530.77,70.7011,3967086.0,-123916.8906,0.3403,3
575.1,2107.1555,530.8588,69.7288,3969334.25,-123916.8906,0.3393,3
